moleculer_finger,predicted_bioactivity,true_bioactivity
0021000-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000
-1010-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100001110000000000000000000000000000000000000000000000000000000000000000000000000000100100000001100000000000000000000000001000000000000011001010100000000000000000000000000010100000000100000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000101000100000000000000000000000001011000011000100001010000000000001100000000101000
200-1-1000000010000000000-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000010000000100001000000000000000001100000000000000000000000000000000000000000000000000000100000000000010000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000
10-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
01-10-1000-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000
000-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-2000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0001-10-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
101020000000000-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000
01000-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0100100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000
-1200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0-1-10100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000
0200010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000
1-1-20100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000100000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000010010000000000000000000000100000000000000000
-1100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0-200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000100001000000000000000000000000000000000000100000000000000000000000000000000000000000000011000000000000000000001000000000000000000000000
1-100000-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000001000000000000000000000000000000000000001000000000000000100000010000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000
0100-101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
